tmdb_id,title,genres,avg_rating,overview,year
283350,Before We Go,"Comedy, Drama, Romance",6.589473684210526,A woman who is robbed on her way to catch the 1:30 train to Boston is left stranded in New York City. She meets a man who helps her during the course of the night and the two form a romance.,2014
10045,District B13,"Action, Thriller, Science Fiction",6.8355555555555565,"Set in the ghettos of Paris in 2010, an undercover cop and ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",2004
9319,The Last Boy Scout,"Action, Thriller",6.826666666666667,"When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician a",1991
8193,Napoleon Dynamite,Comedy,6.33,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",2004
401,Garden State,"Comedy, Drama, Romance",6.878947368421052,"Andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from va",2004
34813,The Losers,"Action, Adventure, Crime, Mystery, Thriller",6.598113207547169,"On a mission deep in the Bolivian jungle, a team of elite commandos finds itself on the receiving end of a lethal betrayal. Now presumed dead, the men join forces with a mysterious operative named Aisha to hunt down their enemy and even the score.",2010
5549,RoboCop 2,"Action, Adventure, Crime, Science Fiction, Thriller",6.633980582524272,"After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this mena",1990
3683,Flags of Our Fathers,"War, Drama, History",6.7992,"There were five Marines and one Navy Corpsman photographed raising the U.S. flag on Mt. Suribachi by Joe Rosenthal on February 23, 1945. This is the story of three of the six surviving servicemen - John 'Doc' Bradley, Pvt. Rene Gagnon and Pvt. Ira Ha",2006
629542,The Bad Guys,"Animation, Action, Adventure, Crime, Comedy, Family",6.720689655172414,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",2022
23202,Trick 'r Treat,"Horror, Comedy",6.548148148148148,"Four interwoven stories that occur on Halloween: an everyday high school principal has a secret life as a serial killer; a college virgin might have just met the one guy for her; a group of teenagers pull a mean prank, and a bitter old recluse receiv",2007
